Created as New Dataset,
nm,%R
1147.0,100.51
1146.0,100.50
1145.0,100.50
1144.0,100.50
1143.0,100.52
1142.0,100.52
1141.0,100.52
1140.0,100.51
1139.0,100.50
1138.0,100.52
1137.0,100.53
1136.0,100.52
1135.0,100.53
1134.0,100.53
1133.0,100.52
1132.0,100.53
1131.0,100.53
1130.0,100.53
1129.0,100.54
1128.0,100.53
1127.0,100.55
1126.0,100.54
1125.0,100.54
1124.0,100.54
1123.0,100.53
1122.0,100.54
1121.0,100.53
1120.0,100.53
1119.0,100.54
1118.0,100.53
1117.0,100.52
1116.0,100.53
1115.0,100.54
1114.0,100.54
1113.0,100.53
1112.0,100.52
1111.0,100.54
1110.0,100.55
1109.0,100.53
1108.0,100.54
1107.0,100.54
1106.0,100.53
1105.0,100.52
1104.0,100.52
1103.0,100.52
1102.0,100.52
1101.0,100.52
1100.0,100.52
1099.0,100.52
1098.0,100.51
1097.0,100.52
1096.0,100.52
1095.0,100.52
1094.0,100.52
1093.0,100.52
1092.0,100.51
1091.0,100.51
1090.0,100.51
1089.0,100.51
1088.0,100.52
1087.0,100.52
1086.0,100.52
1085.0,100.51
1084.0,100.51
1083.0,100.50
1082.0,100.49
1081.0,100.49
1080.0,100.50
1079.0,100.50
1078.0,100.48
1077.0,100.48
1076.0,100.49
1075.0,100.48
1074.0,100.48
1073.0,100.48
1072.0,100.48
1071.0,100.48
1070.0,100.47
1069.0,100.47
1068.0,100.47
1067.0,100.48
1066.0,100.48
1065.0,100.47
1064.0,100.46
1063.0,100.47
1062.0,100.47
1061.0,100.47
1060.0,100.46
1059.0,100.45
1058.0,100.46
1057.0,100.45
1056.0,100.45
1055.0,100.46
1054.0,100.46
1053.0,100.45
1052.0,100.44
1051.0,100.44
1050.0,100.44
1049.0,100.44
1048.0,100.44
1047.0,100.43
1046.0,100.43
1045.0,100.44
1044.0,100.43
1043.0,100.43
1042.0,100.42
1041.0,100.42
1040.0,100.41
1039.0,100.41
1038.0,100.42
1037.0,100.41
1036.0,100.41
1035.0,100.41
1034.0,100.41
1033.0,100.40
1032.0,100.39
1031.0,100.39
1030.0,100.39
1029.0,100.39
1028.0,100.38
1027.0,100.38
1026.0,100.38
1025.0,100.38
1024.0,100.37
1023.0,100.37
1022.0,100.37
1021.0,100.38
1020.0,100.37
1019.0,100.37
1018.0,100.36
1017.0,100.36
1016.0,100.36
1015.0,100.35
1014.0,100.35
1013.0,100.34
1012.0,100.35
1011.0,100.34
1010.0,100.34
1009.0,100.33
1008.0,100.33
1007.0,100.32
1006.0,100.31
1005.0,100.31
1004.0,100.31
1003.0,100.31
1002.0,100.31
1001.0,100.31
1000.0,100.31
999.0,100.30
998.0,100.30
997.0,100.30
996.0,100.30
995.0,100.29
994.0,100.29
993.0,100.28
992.0,100.27
991.0,100.28
990.0,100.27
989.0,100.28
988.0,100.28
987.0,100.27
986.0,100.25
985.0,100.26
984.0,100.27
983.0,100.24
982.0,100.25
981.0,100.25
980.0,100.25
979.0,100.25
978.0,100.23
977.0,100.23
976.0,100.23
975.0,100.24
974.0,100.23
973.0,100.22
972.0,100.24
971.0,100.23
970.0,100.21
969.0,100.21
968.0,100.23
967.0,100.24
966.0,100.22
965.0,100.20
964.0,100.20
963.0,100.22
962.0,100.20
961.0,100.20
960.0,100.19
959.0,100.21
958.0,100.19
957.0,100.19
956.0,100.19
955.0,100.21
954.0,100.20
953.0,100.19
952.0,100.18
951.0,100.18
950.0,100.18
949.0,100.19
948.0,100.17
947.0,100.17
946.0,100.17
945.0,100.17
944.0,100.16
943.0,100.15
942.0,100.16
941.0,100.16
940.0,100.13
939.0,100.15
938.0,100.14
937.0,100.13
936.0,100.16
935.0,100.13
934.0,100.13
933.0,100.13
932.0,100.12
931.0,100.12
930.0,100.11
929.0,100.12
928.0,100.11
927.0,100.11
926.0,100.11
925.0,100.10
924.0,100.09
923.0,100.09
922.0,100.09
921.0,100.07
920.0,100.06
919.0,100.07
918.0,100.08
917.0,100.05
916.0,100.04
915.0,100.04
914.0,100.03
913.0,100.04
912.0,100.04
911.0,100.04
910.0,100.02
909.0,100.02
908.0,100.02
907.0,100.00
906.0,100.01
905.0,100.00
904.0,99.99
903.0,99.98
902.0,99.97
901.0,99.98
900.0,99.97
899.0,99.96
898.0,99.96
897.0,99.95
896.0,99.94
895.0,99.94
894.0,99.93
893.0,99.93
892.0,99.92
891.0,99.92
890.0,99.91
889.0,99.91
888.0,99.90
887.0,99.89
886.0,99.90
885.0,99.91
884.0,99.89
883.0,99.89
882.0,99.89
881.0,99.88
880.0,99.87
879.0,99.88
878.0,99.87
877.0,99.88
876.0,99.87
875.0,99.85
874.0,99.86
873.0,99.85
872.0,99.86
871.0,99.85
870.0,99.86
869.0,99.85
868.0,99.85
867.0,99.84
866.0,99.83
865.0,99.85
864.0,99.84
863.0,99.84
862.0,99.84
861.0,99.81
860.0,99.67
859.0,99.71
858.0,99.60
857.0,99.53
856.0,99.58
855.0,99.68
854.0,99.66
853.0,99.66
852.0,99.68
851.0,99.65
850.0,99.69
849.0,99.69
848.0,99.73
847.0,99.78
846.0,99.66
845.0,99.66
844.0,99.60
843.0,99.61
842.0,99.67
841.0,99.59
840.0,99.52
839.0,99.66
838.0,99.67
837.0,99.70
836.0,99.65
835.0,99.66
834.0,99.66
833.0,99.65
832.0,99.63
831.0,99.66
830.0,99.64
829.0,99.62
828.0,99.63
827.0,99.55
826.0,99.55
825.0,99.65
824.0,99.65
823.0,99.65
822.0,99.62
821.0,99.62
820.0,99.67
819.0,99.69
818.0,99.63
817.0,99.66
816.0,99.60
815.0,99.60
814.0,99.61
813.0,99.63
812.0,99.64
811.0,99.58
810.0,99.57
809.0,99.56
808.0,99.59
807.0,99.65
806.0,99.63
805.0,99.60
804.0,99.62
803.0,99.59
802.0,99.60
801.0,99.58
800.0,99.57
799.0,99.59
798.0,99.57
797.0,99.57
796.0,99.58
795.0,99.59
794.0,99.55
793.0,99.58
792.0,99.53
791.0,99.54
790.0,99.56
789.0,99.56
788.0,99.61
787.0,99.58
786.0,99.52
785.0,99.54
784.0,99.58
783.0,99.55
782.0,99.59
781.0,99.57
780.0,99.56
779.0,99.58
778.0,99.61
777.0,99.60
776.0,99.57
775.0,99.57
774.0,99.57
773.0,99.55
772.0,99.55
771.0,99.59
770.0,99.59
769.0,99.57
768.0,99.56
767.0,99.59
766.0,99.57
765.0,99.56
764.0,99.56
763.0,99.57
762.0,99.56
761.0,99.51
760.0,99.55
759.0,99.56
758.0,99.57
757.0,99.53
756.0,99.46
755.0,99.46
754.0,99.52
753.0,99.52
752.0,99.48
751.0,99.53
750.0,99.54
749.0,99.53
748.0,99.54
747.0,99.53
746.0,99.49
745.0,99.51
744.0,99.54
743.0,99.55
742.0,99.53
741.0,99.50
740.0,99.48
739.0,99.49
738.0,99.52
737.0,99.51
736.0,99.48
735.0,99.45
734.0,99.47
733.0,99.46
732.0,99.47
731.0,99.46
730.0,99.47
729.0,99.46
728.0,99.45
727.0,99.48
726.0,99.47
725.0,99.42
724.0,99.42
723.0,99.43
722.0,99.41
721.0,99.44
720.0,99.45
719.0,99.42
718.0,99.43
717.0,99.48
716.0,99.47
715.0,99.44
714.0,99.42
713.0,99.44
712.0,99.42
711.0,99.42
710.0,99.45
709.0,99.45
708.0,99.42
707.0,99.43
706.0,99.42
705.0,99.47
704.0,99.43
703.0,99.43
702.0,99.42
701.0,99.40
700.0,99.40
699.0,99.42
698.0,99.42
697.0,99.47
696.0,99.41
695.0,99.39
694.0,99.42
693.0,99.44
692.0,99.38
691.0,99.39
690.0,99.43
689.0,99.39
688.0,99.40
687.0,99.40
686.0,99.39
685.0,99.40
684.0,99.37
683.0,99.36
682.0,99.35
681.0,99.38
680.0,99.39
679.0,99.39
678.0,99.34
677.0,99.40
676.0,99.37
675.0,99.37
674.0,99.38
673.0,99.36
672.0,99.35
671.0,99.40
670.0,99.33
669.0,99.31
668.0,99.33
667.0,99.33
666.0,99.36
665.0,99.36
664.0,99.34
663.0,99.37
662.0,99.36
661.0,99.37
660.0,99.34
659.0,99.38
658.0,99.37
657.0,99.40
656.0,99.35
655.0,99.33
654.0,99.37
653.0,99.38
652.0,99.35
651.0,99.38
650.0,99.38
649.0,99.35
648.0,99.34
647.0,99.34
646.0,99.32
645.0,99.31
644.0,99.31
643.0,99.31
642.0,99.34
641.0,99.35
640.0,99.31
639.0,99.27
638.0,99.34
637.0,99.33
636.0,99.34
635.0,99.30
634.0,99.33
633.0,99.34
632.0,99.35
631.0,99.30
630.0,99.32
629.0,99.34
628.0,99.33
627.0,99.34
626.0,99.31
625.0,99.30
624.0,99.34
623.0,99.28
622.0,99.32
621.0,99.30
620.0,99.25
619.0,99.29
618.0,99.29
617.0,99.33
616.0,99.32
615.0,99.32
614.0,99.28
613.0,99.28
612.0,99.30
611.0,99.29
610.0,99.26
609.0,99.28
608.0,99.29
607.0,99.30
606.0,99.30
605.0,99.31
604.0,99.27
603.0,99.30
602.0,99.28
601.0,99.28
600.0,99.31
599.0,99.27
598.0,99.28
597.0,99.26
596.0,99.28
595.0,99.32
594.0,99.31
593.0,99.25
592.0,99.28
591.0,99.28
590.0,99.26
589.0,99.23
588.0,99.27
587.0,99.28
586.0,99.28
585.0,99.26
584.0,99.26
583.0,99.27
582.0,99.24
581.0,99.27
580.0,99.27
579.0,99.24
578.0,99.26
577.0,99.22
576.0,99.23
575.0,99.24
574.0,99.26
573.0,99.26
572.0,99.25
571.0,99.26
570.0,99.28
569.0,99.27
568.0,99.23
567.0,99.23
566.0,99.24
565.0,99.25
564.0,99.23
563.0,99.24
562.0,99.24
561.0,99.23
560.0,99.24
559.0,99.21
558.0,99.23
557.0,99.24
556.0,99.24
555.0,99.23
554.0,99.25
553.0,99.22
552.0,99.24
551.0,99.23
550.0,99.21
549.0,99.23
548.0,99.22
547.0,99.22
546.0,99.22
545.0,99.23
544.0,99.21
543.0,99.22
542.0,99.25
541.0,99.20
540.0,99.20
539.0,99.22
538.0,99.24
537.0,99.26
536.0,99.24
535.0,99.23
534.0,99.25
533.0,99.24
532.0,99.26
531.0,99.25
530.0,99.23
529.0,99.25
528.0,99.26
527.0,99.27
526.0,99.27
525.0,99.29
524.0,99.29
523.0,99.29
522.0,99.29
521.0,99.30
520.0,99.31
519.0,99.33
518.0,99.34
517.0,99.35
516.0,99.36
515.0,99.39
514.0,99.39
513.0,99.40
512.0,99.43
511.0,99.45
510.0,99.45
509.0,99.46
508.0,99.46
507.0,99.47
506.0,99.48
505.0,99.49
504.0,99.48
503.0,99.47
502.0,99.49
501.0,99.51
500.0,99.49
499.0,99.50
498.0,99.50
497.0,99.48
496.0,99.46
495.0,99.47
494.0,99.47
493.0,99.46
492.0,99.46
491.0,99.44
490.0,99.45
489.0,99.45
488.0,99.42
487.0,99.41
486.0,99.41
485.0,99.39
484.0,99.37
483.0,99.36
482.0,99.38
481.0,99.38
480.0,99.39
479.0,99.40
478.0,99.43
477.0,99.44
476.0,99.45
475.0,99.46
474.0,99.48
473.0,99.49
472.0,99.50
471.0,99.52
470.0,99.54
469.0,99.55
468.0,99.54
467.0,99.53
466.0,99.52
465.0,99.53
464.0,99.55
463.0,99.54
462.0,99.54
461.0,99.56
460.0,99.56
459.0,99.55
458.0,99.55
457.0,99.55
456.0,99.56
455.0,99.55
454.0,99.53
453.0,99.54
452.0,99.54
451.0,99.53
450.0,99.54
449.0,99.56
448.0,99.58
447.0,99.56
446.0,99.55
445.0,99.54
444.0,99.51
443.0,99.52
442.0,99.55
441.0,99.53
440.0,99.51
439.0,99.51
438.0,99.52
437.0,99.51
436.0,99.50
435.0,99.51
434.0,99.48
433.0,99.45
432.0,99.51
431.0,99.49
430.0,99.46
429.0,99.48
428.0,99.47
427.0,99.45
426.0,99.46
425.0,99.43
424.0,99.42
423.0,99.42
422.0,99.38
421.0,99.37
420.0,99.41
419.0,99.38
418.0,99.38
417.0,99.31
416.0,99.33
415.0,99.32
414.0,99.28
413.0,99.26
412.0,99.26
411.0,99.21
410.0,99.22
409.0,99.19
408.0,99.19
407.0,99.16
406.0,99.15
405.0,99.11
404.0,99.10
403.0,99.10
402.0,99.06
401.0,99.03
400.0,99.04
399.0,99.00
398.0,98.97
397.0,98.95
396.0,98.95
395.0,98.90
394.0,98.87
393.0,98.81
392.0,98.80
391.0,98.76
390.0,98.71
389.0,98.68
388.0,98.64
387.0,98.64
386.0,98.64
385.0,98.59
384.0,98.48
383.0,98.43
382.0,98.43
381.0,98.35
380.0,98.29
379.0,98.16
378.0,98.15
377.0,98.08
376.0,98.02
375.0,98.05
374.0,97.90
373.0,97.78
372.0,97.69
371.0,97.43
370.0,97.44
369.0,97.20
368.0,97.10
367.0,96.88
366.0,96.84
365.0,96.64
364.0,96.48
363.0,96.33
362.0,96.16
361.0,96.11
360.0,95.95
359.0,95.85
358.0,95.68
357.0,95.83
356.0,95.55
355.0,95.21
354.0,95.23
353.0,95.34
352.0,95.30
351.0,94.98
350.0,95.00
349.0,95.07
348.0,94.93
347.0,94.80
346.0,94.63
345.0,94.73
344.0,94.76
343.0,94.75
342.0,94.46
341.0,94.40
340.0,94.41
339.0,94.15
338.0,94.15
337.0,94.41
336.0,94.21
335.0,93.85
334.0,93.96
333.0,94.06
332.0,93.96
331.0,93.79
330.0,93.88
329.0,93.67
328.0,93.34
327.0,93.37
326.0,93.26
325.0,93.33
324.0,93.43
323.0,93.18
322.0,92.85
321.0,93.06
320.0,92.53
319.0,92.20
318.0,92.05
317.0,91.92
316.0,91.85
315.0,91.63
314.0,91.42
313.0,91.17
312.0,90.86
311.0,90.58
310.0,90.27
309.0,89.83
308.0,89.53
307.0,89.08
306.0,88.69
305.0,88.05
304.0,87.41
303.0,86.80
302.0,86.08
301.0,85.29
300.0,84.47
299.0,83.68
298.0,82.65
297.0,81.67
296.0,80.76
295.0,79.68
294.0,78.64
293.0,77.59
292.0,76.56
291.0,75.61
290.0,74.65
289.0,73.74
288.0,72.80
287.0,71.96
286.0,71.17
285.0,70.42
284.0,69.71
283.0,69.09
282.0,68.48
281.0,67.93
280.0,67.54
279.0,67.08
278.0,66.74
277.0,66.45
276.0,66.17
275.0,65.92
274.0,65.68
273.0,65.44
272.0,65.21
271.0,64.96
270.0,64.69
269.0,64.42
268.0,64.16
267.0,63.91
266.0,63.63
265.0,63.34
264.0,63.06
263.0,62.75
262.0,62.39
261.0,62.15
260.0,61.86
259.0,61.54
258.0,61.24
257.0,60.94
256.0,60.65
255.0,60.38
254.0,60.05
253.0,59.80
252.0,59.55
251.0,59.30
250.0,59.10
249.0,58.90
248.0,58.68
247.0,58.46
